# wavenumber(cm^-1)  total O H
4.071827333961817175e+00 5.541076026393798593e-02 1.791893931079545019e-02 3.749182095314252533e-02
8.143654667923634349e+00 5.540851660707026005e-02 1.791249141714442231e-02 3.749602518992582734e-02
1.221548200188545152e+01 5.540483532927300420e-02 1.790174704475595499e-02 3.750308828451703880e-02
1.628730933584726870e+01 5.539980351378502588e-02 1.788670937696458171e-02 3.751309413682044763e-02
2.035913666980908587e+01 5.539354279295068129e-02 1.786738288597283786e-02 3.752615990697782955e-02
2.443096400377090305e+01 5.538620906468059990e-02 1.784377334828022091e-02 3.754243571640038246e-02
2.850279133773272022e+01 5.537799212883065536e-02 1.781588786437067820e-02 3.756210426445998063e-02
3.257461867169453740e+01 5.536911524419342590e-02 1.778373488254714890e-02 3.758538036164627699e-02
3.664644600565635812e+01 5.535983460695052816e-02 1.774732422677778587e-02 3.761251038017273535e-02
4.071827333961817175e+01 5.535043875158459498e-02 1.770666712839552917e-02 3.764377162318906234e-02
4.479010067357999247e+01 5.534124787540051216e-02 1.766177626146978041e-02 3.767947161393072480e-02
4.886192800754180610e+01 5.533261308795364014e-02 1.761266578164740262e-02 3.771994730630622017e-02
5.293375534150362682e+01 5.532491558683014926e-02 1.755935136823913098e-02 3.776556421859101481e-02
5.700558267546544045e+01 5.531856576136906511e-02 1.750185026930766233e-02 3.781671549206140626e-02
6.107741000942726117e+01 5.531400222605866585e-02 1.744018134949454693e-02 3.787382087656411545e-02
6.514923734338907479e+01 5.531169078548002493e-02 1.737436514030525278e-02 3.793732564517476175e-02
6.922106467735089552e+01 5.531212333280838278e-02 1.730442389255510208e-02 3.800769944025327030e-02
7.329289201131271625e+01 5.531581668401765878e-02 1.723038163066329884e-02 3.808543505335436341e-02
7.736471934527452277e+01 5.532331135006542805e-02 1.715226420846832633e-02 3.817104714159709478e-02
8.143654667923634349e+01 5.533517024946392471e-02 1.707009936622511798e-02 3.826507088323880673e-02
8.550837401319816422e+01 5.535197736376760991e-02 1.698391678843332031e-02 3.836806057533430347e-02
8.958020134715998495e+01 5.537433633862925975e-02 1.689374816213610672e-02 3.848058817649314955e-02
9.365202868112179146e+01 5.540286903319267126e-02 1.679962723532086796e-02 3.860324179787179982e-02
9.772385601508361219e+01 5.543821402070438220e-02 1.670158987504638190e-02 3.873662414565798295e-02
1.017956833490454329e+02 5.548102504333326385e-02 1.659967412491605149e-02 3.888135091841719848e-02
1.058675106830072536e+02 5.553196942429212968e-02 1.649392026151345891e-02 3.903804916277866383e-02
1.099393380169690602e+02 5.559172644045249495e-02 1.638437084941461036e-02 3.920735559103787765e-02
1.140111653509308809e+02 5.566098565873790760e-02 1.627107079439124235e-02 3.938991486434666178e-02
1.180829926848927016e+02 5.574044523966849296e-02 1.615406739442110107e-02 3.958637784524739189e-02
1.221548200188545223e+02 5.583081021151135859e-02 1.603341038812422514e-02 3.979739982338713344e-02
1.262266473528163289e+02 5.593279071856784024e-02 1.590915200024938317e-02 4.002363871831844666e-02
1.302984746867781496e+02 5.604710024719781331e-02 1.578134698384104501e-02 4.026575326335676136e-02
1.343703020207399561e+02 5.617445383324522895e-02 1.565005265872557866e-02 4.052440117451965029e-02
1.384421293547017910e+02 5.631556625458528087e-02 1.551532894596510150e-02 4.080023730862018111e-02
1.425139566886635976e+02 5.647115021256327028e-02 1.537723839793845790e-02 4.109391181462480891e-02
1.465857840226254325e+02 5.664191450613849377e-02 1.523584622372189945e-02 4.140606828241658738e-02
1.506576113565872390e+02 5.682856220258090951e-02 1.509122030945601878e-02 4.173734189312489073e-02
1.547294386905490455e+02 5.703178880859698097e-02 1.494343123340118387e-02 4.208835757519580750e-02
1.588012660245108805e+02 5.725228044578058173e-02 1.479255227540090048e-02 4.245972817037967778e-02
1.628730933584726870e+02 5.749071203429737681e-02 1.463865942049051225e-02 4.285205261380685415e-02
1.669449206924344935e+02 5.774774548871539764e-02 1.448183135640844152e-02 4.326591413230695266e-02
1.710167480263963284e+02 5.802402792989023311e-02 1.432214946478756190e-02 4.370187846510266427e-02
1.750885753603581350e+02 5.832018991680122666e-02 1.415969780582621365e-02 4.416049211097499566e-02
1.791604026943199699e+02 5.863684370221429465e-02 1.399456309626083937e-02 4.464228060595345354e-02
1.832322300282817764e+02 5.897458151601793486e-02 1.382683468048597798e-02 4.514774683553195861e-02
1.873040573622435829e+02 5.933397388004078149e-02 1.365660449469159252e-02 4.567736938534918550e-02
1.913758846962054179e+02 5.971556795811303747e-02 1.348396702391282086e-02 4.623160093420021488e-02
