# wavenumber(cm^-1)  total O H
4.071827333961817175e+00 7.477848772043152459e-02 2.286051560686485143e-02 5.191797211356666969e-02
8.143654667923634349e+00 7.959286288127748188e-02 2.447874540098112645e-02 5.511411748029634156e-02
1.221548200188545152e+01 8.726127228107231903e-02 2.706792074127652506e-02 6.019335153979579051e-02
1.628730933584726870e+01 9.727560910717050757e-02 3.047080177385032979e-02 6.680480733332018473e-02
2.035913666980908587e+01 1.089745716131710063e-01 3.447743418759476042e-02 7.449713742557624585e-02
2.443096400377090305e+01 1.215921712197073623e-01 3.883717150975962012e-02 8.275499970994773524e-02
2.850279133773272022e+01 1.343165585709383825e-01 4.327549107463519312e-02 9.104106749630318240e-02
3.257461867169453740e+01 1.463548709964272443e-01 4.751493266533867582e-02 9.883993833108854765e-02
3.664644600565635812e+01 1.569981502617353308e-01 5.129831926808211401e-02 1.056998309936532376e-01
4.071827333961817175e+01 1.656793518236071017e-01 5.441145864250207520e-02 1.112678931811050126e-01
4.479010067357999247e+01 1.720175039638459080e-01 5.670210167324987033e-02 1.153154022905960446e-01
4.886192800754180610e+01 1.758423663837793138e-01 5.809222200493727867e-02 1.177501443788420143e-01
5.293375534150362682e+01 1.771963548399339283e-01 5.858164719500606049e-02 1.186147076449279025e-01
5.700558267546544045e+01 1.763136272587009223e-01 5.824249213304411033e-02 1.180711351256568120e-01
6.107741000942726117e+01 1.735794816596290535e-01 5.720538659547141913e-02 1.163740950641576344e-01
6.514923734338907479e+01 1.694759906701938379e-01 5.563980690897916276e-02 1.138361837612147098e-01
6.922106467735089552e+01 1.645216025863611431e-01 5.373165516871105524e-02 1.107899474176500670e-01
7.329289201131271625e+01 1.592129923637485844e-01 5.166145222347801047e-02 1.075515401402705740e-01
7.736471934527452277e+01 1.539766991203245505e-01 4.958613890492737097e-02 1.043905602153971657e-01
8.143654667923634349e+01 1.491362033580707347e-01 4.762664146682966254e-02 1.015095618912411207e-01
8.550837401319816422e+01 1.448974052490907827e-01 4.586224286618852813e-02 9.903516238290226148e-02
8.958020134715998495e+01 1.413524039658377307e-01 4.433161960408354280e-02 9.702078436175419485e-02
9.365202868112179146e+01 1.384985446079535498e-01 4.303934761329070158e-02 9.545919699466284825e-02
9.772385601508361219e+01 1.362673918749403579e-01 4.196590983619911258e-02 9.430148203874127999e-02
1.017956833490454329e+02 1.345570337184444354e-01 4.107886650617696700e-02 9.347816721226749614e-02
1.058675106830072536e+02 1.332611775157880041e-01 4.034293109539745237e-02 9.291824642039056559e-02
1.099393380169690602e+02 1.322898909012328317e-01 3.972720949410316754e-02 9.256268140712967107e-02
1.140111653509308809e+02 1.315792750508104625e-01 3.920870038600877266e-02 9.237057466480171064e-02
1.180829926848927016e+02 1.310902784830604018e-01 3.877213478302750371e-02 9.231814370003291192e-02
1.221548200188545223e+02 1.307995388541427495e-01 3.840711934853484333e-02 9.239241950560786454e-02
1.262266473528163289e+02 1.306868783869154227e-01 3.810411876216105581e-02 9.258275962475437382e-02
1.302984746867781496e+02 1.307244130474696786e-01 3.785092095239726839e-02 9.287349209507241021e-02
1.343703020207399561e+02 1.308711048311105574e-01 3.763085848144265277e-02 9.324024634966790459e-02
1.384421293547017910e+02 1.310743750183849810e-01 3.742333654721941016e-02 9.365103847116555691e-02
1.425139566886635976e+02 1.312778301888306576e-01 3.720637998294411275e-02 9.407145020588654483e-02
1.465857840226254325e+02 1.314320694269354717e-01 3.696023023188174661e-02 9.447183919505372507e-02
1.506576113565872390e+02 1.315046071559557161e-01 3.667071361993987783e-02 9.483389353601587302e-02
1.547294386905490455e+02 1.314854260172214906e-01 3.633124796005073043e-02 9.515417805717074629e-02
