# wavenumber(cm^-1)  total O H
4.071827333961817175e+00 1.410807868926003406e-02 4.228214489048842326e-03 9.879864200211193465e-03
8.143654667923634349e+00 1.540960967771831669e-02 4.668939841026014011e-03 1.074066983669230008e-02
1.221548200188545152e+01 1.763537842417770701e-02 5.426797789790960627e-03 1.220858063438674292e-02
1.628730933584726870e+01 2.085032364673548508e-02 6.529604542676302817e-03 1.432071910405918226e-02
2.035913666980908587e+01 2.510865816535786180e-02 8.002994843722594648e-03 1.710566332163526021e-02
2.443096400377090305e+01 3.042405635316037735e-02 9.859392038447080397e-03 2.056466431471330042e-02
2.850279133773272022e+01 3.674042649518668990e-02 1.208688887382038460e-02 2.465353762136630530e-02
3.257461867169453740e+01 4.390876670397283327e-02 1.463997524191275844e-02 2.926879146206008350e-02
3.664644600565635812e+01 5.167531411893754034e-02 1.743403959477472093e-02 3.424127452416282635e-02
4.071827333961817175e+01 5.968503500168217263e-02 2.034526731377147429e-02 3.933976768791071221e-02
4.479010067357999247e+01 6.750246088929798272e-02 2.321692654617848323e-02 4.428553434311949949e-02
4.886192800754180610e+01 7.464912253179660506e-02 2.587209207039276732e-02 4.877703046140383081e-02
5.293375534150362682e+01 8.065374939691112577e-02 2.813171542965156591e-02 5.252203396725955292e-02
5.700558267546544045e+01 8.510855532499081444e-02 2.983579756693648458e-02 5.527275775805431252e-02
6.107741000942726117e+01 8.772297471205882380e-02 3.086451268683535962e-02 5.685846202522346765e-02
6.514923734338907479e+01 8.836572601814640660e-02 3.115572582225709791e-02 5.721000019588930868e-02
6.922106467735089552e+01 8.708737708064151484e-02 3.071562290905023238e-02 5.637175417159127899e-02
7.329289201131271625e+01 8.411858395593932447e-02 2.962016527189913553e-02 5.449841868404018547e-02
7.736471934527452277e+01 7.984334636142760566e-02 2.800664069952422605e-02 5.183670566190336226e-02
8.143654667923634349e+01 7.475110086165477619e-02 2.605639552814423970e-02 4.869470533351052260e-02
8.550837401319816422e+01 6.937526509530014818e-02 2.397148998028156980e-02 4.540377511501857144e-02
8.958020134715998495e+01 6.422810653371946454e-02 2.194913539232113547e-02 4.227897114139831519e-02
9.365202868112179146e+01 5.974207522301738793e-02 2.015809019549298295e-02 3.958398502752440151e-02
9.772385601508361219e+01 5.622605363171280513e-02 1.872065857813634895e-02 3.750539505357646658e-02
1.017956833490454329e+02 5.384184698050487050e-02 1.770271263041129847e-02 3.613913435009356856e-02
1.058675106830072536e+02 5.260246238563959231e-02 1.711256492756501463e-02 3.548989745807457075e-02
1.099393380169690602e+02 5.239014299104229749e-02 1.690793185788515979e-02 3.548221113315713771e-02
1.140111653509308809e+02 5.298938360938929698e-02 1.700897675802148096e-02 3.598040685136781602e-02
1.180829926848927016e+02 5.412858714793973569e-02 1.731470524441143174e-02 3.681388190352831435e-02
1.221548200188545223e+02 5.552363414288867538e-02 1.771984545902870190e-02 3.780378868385998042e-02
1.262266473528163289e+02 5.691721927051011931e-02 1.812969393237331278e-02 3.878752533813679959e-02
1.302984746867781496e+02 5.810907006248147016e-02 1.847108075088947643e-02 3.963798931159200067e-02
1.343703020207399561e+02 5.897385021375615988e-02 1.869843284899358124e-02 4.027541736476257517e-02
1.384421293547017910e+02 5.946547896226032220e-02 1.879475116589324896e-02 4.067072779636708713e-02
1.425139566886635976e+02 5.960861621614042816e-02 1.876806981114061482e-02 4.084054640499980987e-02
1.465857840226254325e+02 5.947997857286330126e-02 1.864456797588902315e-02 4.083541059697428505e-02
1.506576113565872390e+02 5.918369240408647564e-02 1.845990408277594502e-02 4.072378832131053061e-02
1.547294386905490455e+02 5.882573642975245931e-02 1.825048579759427914e-02 4.057525063215816630e-02
1.588012660245108805e+02 5.849241288135226258e-02 1.804624361778959032e-02 4.044616926356267572e-02
1.628730933584726870e+02 5.823663683943099828e-02 1.786604601254725144e-02 4.037059082688373296e-02
1.669449206924344935e+02 5.807385114879761584e-02 1.771625157959726485e-02 4.035759956920036140e-02
1.710167480263963284e+02 5.798703548486129622e-02 1.759217603817381931e-02 4.039485944668746997e-02
1.750885753603581350e+02 5.793820691774713427e-02 1.748163432546720811e-02 4.045657259227995045e-02
1.791604026943199699e+02 5.788257506525838064e-02 1.736936021541749670e-02 4.051321484984089089e-02
1.832322300282817764e+02 5.778142920194946630e-02 1.724109466440298943e-02 4.054033453754647687e-02
1.873040573622435829e+02 5.761083459876024243e-02 1.708644817026782475e-02 4.052438642849241074e-02
1.913758846962054179e+02 5.736488683781919284e-02 1.690015616963813291e-02 4.046473066818105646e-02
1.954477120301672244e+02 5.705400917129162947e-02 1.668187500426296377e-02 4.037213416702867264e-02
1.995195393641290309e+02 5.670001052174562794e-02 1.643503441565672199e-02 4.026497610608890942e-02
2.035913666980908658e+02 5.633002801151178185e-02 1.616537125163085634e-02 4.016465675988092898e-02
2.076631940320526724e+02 5.597108233105285713e-02 1.587962734352426492e-02 4.009145498752858527e-02
2.117350213660145073e+02 5.564610309123425858e-02 1.558460860880457946e-02 4.006149448242967565e-02
2.158068486999763138e+02 5.537139751136362087e-02 1.528652404319016424e-02 4.008487346817346531e-02
2.198786760339381203e+02 5.515502958994143723e-02 1.499038131516423032e-02 4.016464827477721211e-02
2.239505033678999553e+02 5.499560446399601871e-02 1.469926158500900991e-02 4.029634287898702094e-02
2.280223307018617618e+02 5.488139028168483730e-02 1.441348606998936466e-02 4.046790421169547958e-02
2.320941580358235683e+02 5.479023707389846232e-02 1.412990731428031589e-02 4.066032975961814122e-02
2.361659853697854032e+02 5.469101914453888824e-02 1.384168227375092743e-02 4.084933687078796255e-02
2.402378127037472098e+02 5.454712788949254987e-02 1.353883245839994018e-02 4.100829543109262010e-02
2.443096400377090447e+02 5.432191091919966880e-02 1.320967315669381061e-02 4.111223776250585993e-02
2.483814673716708512e+02 5.398515091113910425e-02 1.284288622789868384e-02 4.114226468324041347e-02
2.524532947056326577e+02 5.351906792148830583e-02 1.242974904170057390e-02 4.108931887978772846e-02
2.565251220395944642e+02 5.292221362227322867e-02 1.196593053265612022e-02 4.095628308961710845e-02
2.605969493735562992e+02 5.221010741179941961e-02 1.145237287301864929e-02 4.075773453878078073e-02
2.646687767075181341e+02 5.141239772023168536e-02 1.089505630113561142e-02 4.051734141909607567e-02
2.687406040414799122e+02 5.056738413286578776e-02 1.030378830387883131e-02 4.026359582898694084e-02
2.728124313754417472e+02 4.971552274052910836e-02 9.690436899012833116e-03 4.002508584151626830e-02
2.768842587094035821e+02 4.889377604296650526e-02 9.067142738474478006e-03 3.982663330449202899e-02
2.809560860433653602e+02 4.813228597457867852e-02 8.444967309453542056e-03 3.968731866512513473e-02
2.850279133773271951e+02 4.745399829425368809e-02 7.833212436108315246e-03 3.962078585814537285e-02
2.890997407112890301e+02 4.687686152638408099e-02 7.239378724896952666e-03 3.963748280148712833e-02
2.931715680452508650e+02 4.641741191191276622e-02 6.669523481564123765e-03 3.974788843034864072e-02
2.972433953792126431e+02 4.609419480262881563e-02 6.128701219988952689e-03 3.996549358263986468e-02
3.013152227131744780e+02 4.592964803392093204e-02 5.621230766268957638e-03 4.030841726765198307e-02
3.053870500471363130e+02 4.594968499359080444e-02 5.150683880070142280e-03 4.079900111352067343e-02
3.094588773810980911e+02 4.618103251148462929e-02 4.719653467772207990e-03 4.146137904371242217e-02
3.135307047150599260e+02 4.664712574761514796e-02 4.329464087479669224e-03 4.231766166013549435e-02
3.176025320490217609e+02 4.736381112390223441e-02 3.979998893020010586e-03 4.338381223088223076e-02
3.216743593829835390e+02 4.833614355970827781e-02 3.669746652926094473e-03 4.466639690678218810e-02
3.257461867169453740e+02 4.955720550955967224e-02 3.396065538450804104e-03 4.616113997110886380e-02
3.298180140509072089e+02 5.100925861123558475e-02 3.155571611714802320e-03 4.785368699952079197e-02
3.338898413848689870e+02 5.266686740669512812e-02 2.944527096526494865e-03 4.972234031016862371e-02
3.379616687188308219e+02 5.450111567322275807e-02 2.759132562214934407e-03 5.174198311100781933e-02
3.420334960527926569e+02 5.648381920813590890e-02 2.595693974736773980e-03 5.388812523339912147e-02
3.461053233867544918e+02 5.859077322792780734e-02 2.450701403339155485e-03 5.614007182458863321e-02
3.501771507207162699e+02 6.080349105812735827e-02 2.320888073882474475e-03 5.848260298424488163e-02
3.542489780546781049e+02 6.310943221208548115e-02 2.203324633944370083e-03 6.090610757814109849e-02
3.583208053886399398e+02 6.550118081411268611e-02 2.095556772443689895e-03 6.340562404166899535e-02
3.623926327226017179e+02 6.797525120896120987e-02 1.995743397097717899e-03 6.597950781186348590e-02
3.664644600565635528e+02 7.053109862115167217e-02 1.902726280745948824e-03 6.862837234040572443e-02
3.705362873905253878e+02 7.317056505491521812e-02 1.815975073064731186e-03 7.135458998185048585e-02
3.746081147244871659e+02 7.589757451126134813e-02 1.735397842431329841e-03 7.416217666883001547e-02
3.786799420584490008e+02 7.871762817149173530e-02 1.661064261939221038e-03 7.705656390955251123e-02
3.827517693924108357e+02 8.163670002726265695e-02 1.592928678991855545e-03 8.004377134827080076e-02
3.868235967263726138e+02 8.465950994562268517e-02 1.530644491622692917e-03 8.312886545400000049e-02
3.908954240603344488e+02 8.778769267771398266e-02 1.473527317902655672e-03 8.631416535981130400e-02
3.949672513942962837e+02 9.101880499798649382e-02 1.420667364988900021e-03 8.959813763299759315e-02
3.990390787282580618e+02 9.434713797117000311e-02 1.371135737204751777e-03 9.297600223396523811e-02
4.031109060622198967e+02 9.776679157825664268e-02 1.324197971729357401e-03 9.644259360652726598e-02
4.071827333961817317e+02 1.012765314331896399e-01 1.279452196428865944e-03 9.999707923676075250e-02
4.112545607301435666e+02 1.048849274228201151e-01 1.236844891086518990e-03 1.036480825317335902e-01
4.153263880641053447e+02 1.086136355748368726e-01 1.196567792106347687e-03 1.074170677827305243e-01
4.193982153980671796e+02 1.124968122727555420e-01 1.158884004424272796e-03 1.113379282683312904e-01
4.234700427320290146e+02 1.165756572019849280e-01 1.123953337975127720e-03 1.154517038640097831e-01
4.275418700659907927e+02 1.208887114267822582e-01 1.091720320985401036e-03 1.197969911057968490e-01
4.316136973999526276e+02 1.254602191972129244e-01 1.061898969446143075e-03 1.243983202277667288e-01
4.356855247339144626e+02 1.302899168885034431e-01 1.034049851734868174e-03 1.292558670367685569e-01
4.397573520678762407e+02 1.353475311657311997e-01 1.007712523909867330e-03 1.343398186418213180e-01
4.438291794018380756e+02 1.405739516934845224e-01 9.825408897402227500e-04 1.395914108037442647e-01
4.479010067357999105e+02 1.458888885162956950e-01 9.583936134616285931e-04 1.449304949028340783e-01
4.519728340697616886e+02 1.512026063150191668e-01 9.353519684198209616e-04 1.502672543465993493e-01
4.560446614037235236e+02 1.564279114716168595e-01 9.136643588462566501e-04 1.555142471127705928e-01
4.601164887376853585e+02 1.614885550379112911e-01 8.936404523125576500e-04 1.605949145855987414e-01
4.641883160716471366e+02 1.663216779732451522e-01 8.755313687226227775e-04 1.654461466045225315e-01
4.682601434056089715e+02 1.708743454035863418e-01 8.594330742912640545e-04 1.700149123292950537e-01
4.723319707395708065e+02 1.750966636345262228e-01 8.452397146726398774e-04 1.742514239198535431e-01
4.764037980735326414e+02 1.789354648517768598e-01 8.326566781666057491e-04 1.781028081736102942e-01
4.804756254074944195e+02 1.823324425092850976e-01 8.212653270947889222e-04 1.815111771821902864e-01
4.845474527414562544e+02 1.852289032982194494e-01 8.106175671946933611e-04 1.844182857310247281e-01
4.886192800754180894e+02 1.875765905610901063e-01 8.003320037304311732e-04 1.867762585573596867e-01
4.926911074093798675e+02 1.893513619478909282e-01 7.901653783864996585e-04 1.885611965695044301e-01
4.967629347433417024e+02 1.905649146479467537e-01 7.800420693695803891e-04 1.897848725785771240e-01
5.008347620773035374e+02 1.912698903468934286e-01 7.700376377135434306e-04 1.904998527091798788e-01
5.049065894112653154e+02 1.915555552527856142e-01 7.603256996991166351e-04 1.907952295530865316e-01
5.089784167452271504e+02 1.915341897840771579e-01 7.511069042128802175e-04 1.907830828798642853e-01
5.130502440791889285e+02 1.913213004740687284e-01 7.425418754435175826e-04 1.905787585986252197e-01
5.171220714131508203e+02 1.910147546568658206e-01 7.347061404533951259e-04 1.902800485164124200e-01
5.211938987471125984e+02 1.906782945547416952e-01 7.275760807910179335e-04 1.899507184739507026e-01
5.252657260810743765e+02 1.903335673210977963e-01 7.210442559173579468e-04 1.896125230651803939e-01
5.293375534150362682e+02 1.899623374081790828e-01 7.149538388501622353e-04 1.892473835693289641e-01
5.334093807489980463e+02 1.895177857476282868e-01 7.091381105743372291e-04 1.888086476370539335e-01
5.374812080829598244e+02 1.889416009813794095e-01 7.034526513594388519e-04 1.882381483300199221e-01
