# time(fs)  total O H
9.800000000000000000e+01 3.251517298674426655e-04 -8.320308461827412142e-05 4.083548144857168140e-04
1.000000000000000000e+02 8.121963706482920615e-04 -7.770098842167917185e-05 8.898973590699710843e-04
1.020000000000000000e+02 6.976115802914112764e-04 -7.482609428462382798e-05 7.724376745760351722e-04
1.040000000000000000e+02 6.680299316700995184e-05 -7.421711421238387865e-05 1.410201073793937898e-04
1.060000000000000000e+02 -8.566900096228728233e-04 -7.458745193079519139e-05 -7.821025576920777539e-04
1.080000000000000000e+02 -1.747108556052307318e-03 -7.450414422866349397e-05 -1.672604411823644041e-03
1.100000000000000000e+02 -2.205507050027363108e-03 -7.264636895565692882e-05 -2.132860681071705854e-03
1.120000000000000000e+02 -1.909239162512599590e-03 -6.791117489991858446e-05 -1.841327987612680680e-03
1.140000000000000000e+02 -9.022283094608929280e-04 -6.026919655306595954e-05 -8.419591129078269481e-04
1.160000000000000000e+02 3.266211629670438062e-04 -5.144295864314910179e-05 3.780641216101929486e-04
1.180000000000000000e+02 1.206829980672703174e-03 -4.391389977631787690e-05 1.250743880449021106e-03
1.200000000000000000e+02 1.521797162395062105e-03 -3.902771183609543695e-05 1.560824874231157454e-03
1.220000000000000000e+02 1.380505823151703670e-03 -3.655744343970147853e-05 1.417063266591405291e-03
1.240000000000000000e+02 8.586801239485440402e-04 -3.598254565940715302e-05 8.946626696079510712e-04
1.260000000000000000e+02 -4.563702554681208564e-05 -3.707968713397867192e-05 -8.557338412833410333e-06
1.280000000000000000e+02 -1.069640316851836175e-03 -3.888466409426886365e-05 -1.030755652757567569e-03
1.300000000000000000e+02 -1.619280748904800655e-03 -3.922364367732017839e-05 -1.580057105227480104e-03
1.320000000000000000e+02 -1.302044631816404998e-03 -3.647276855983377518e-05 -1.265571863256571318e-03
1.340000000000000000e+02 -3.824139636943846678e-04 -3.142060727912137237e-05 -3.509933564152633158e-04
1.360000000000000000e+02 5.230609117771506302e-04 -2.643914586140469632e-05 5.495000576385553536e-04
1.380000000000000000e+02 1.099185876926197158e-03 -2.303702017121519576e-05 1.122222897097412391e-03
1.400000000000000000e+02 1.419522149404931453e-03 -2.121876869810815656e-05 1.440740918103039590e-03
1.420000000000000000e+02 1.470630962527646243e-03 -2.105687502844588363e-05 1.491687837556091977e-03
1.440000000000000000e+02 9.979329891261256094e-04 -2.336515597277145250e-05 1.021298145098897218e-03
1.460000000000000000e+02 -1.182934882919141459e-05 -2.806985369386673579e-05 1.624050486467533137e-05
1.480000000000000000e+02 -1.010566973923516122e-03 -3.303906747303564254e-05 -9.775279064504806010e-04
1.500000000000000000e+02 -1.366698096040878333e-03 -3.580487032276038459e-05 -1.330893225718117901e-03
1.520000000000000000e+02 -1.028500459798118967e-03 -3.604154054117544170e-05 -9.924589192569434511e-04
1.540000000000000000e+02 -4.493852994581370064e-04 -3.536155487037909081e-05 -4.140237445877579495e-04
1.560000000000000000e+02 5.353181922194415356e-05 -3.498704316385798144e-05 8.851886238580212822e-05
1.580000000000000000e+02 5.241928380699325011e-04 -3.491150954400204910e-05 5.591043476139347535e-04
1.600000000000000000e+02 9.377052240553123297e-04 -3.542696468161288074e-05 9.731321887369252105e-04
1.620000000000000000e+02 9.467064483079263302e-04 -3.793548673593667979e-05 9.846419350438631590e-04
1.640000000000000000e+02 3.057687470861953608e-04 -4.326936423425165512e-05 3.490381113204469752e-04
1.660000000000000000e+02 -6.643517454949041806e-04 -5.002518739038361556e-05 -6.143265581045206057e-04
1.680000000000000000e+02 -1.341474865703821181e-03 -5.572672721487000221e-05 -1.285748138488951179e-03
1.700000000000000000e+02 -1.454042554101817606e-03 -5.931864983184008888e-05 -1.394723904269977530e-03
1.720000000000000000e+02 -1.212392032501070699e-03 -6.153278154704048381e-05 -1.150859250954030513e-03
1.740000000000000000e+02 -8.416922277121533912e-04 -6.306832326819735346e-05 -7.786239044439559158e-04
1.760000000000000000e+02 -3.116657610463135120e-04 -6.373332614505533371e-05 -2.479324349012581512e-04
1.780000000000000000e+02 3.633446754417234224e-04 -6.373244145258345143e-05 4.270771168943069416e-04
1.800000000000000000e+02 8.453407950896888378e-04 -6.459523769871918820e-05 9.099360327884081345e-04
1.820000000000000000e+02 7.619072718059667669e-04 -6.779715520866990612e-05 8.297044270146366595e-04
1.840000000000000000e+02 1.727465355330158711e-04 -7.293482966518991960e-05 2.456813651982057501e-04
1.860000000000000000e+02 -4.831168038166733930e-04 -7.816994460805151755e-05 -4.049468592086218890e-04
1.880000000000000000e+02 -8.723645155646223915e-04 -8.223964261567635284e-05 -7.901248729489459980e-04
1.900000000000000000e+02 -9.953762893900675382e-04 -8.517785457527024995e-05 -9.101984348147974238e-04
1.920000000000000000e+02 -9.317868843519048431e-04 -8.715297750206917851e-05 -8.446339068498353664e-04
1.940000000000000000e+02 -6.210933085198259767e-04 -8.773965225109389623e-05 -5.333536562687321483e-04
1.960000000000000000e+02 -3.844819378863666268e-05 -8.686208293313752631e-05 4.841388914450087718e-05
1.980000000000000000e+02 5.714739172825924075e-04 -8.570357016816662989e-05 6.571774874507590103e-04
2.000000000000000000e+02 8.426043660620117018e-04 -8.585642337152056644e-05 9.284607894335323089e-04
2.020000000000000000e+02 6.507628454064274138e-04 -8.774614657146564078e-05 7.385089919778930817e-04
2.040000000000000000e+02 1.898929805105896223e-04 -9.049570494710360079e-05 2.803886854576932231e-04
2.060000000000000000e+02 -2.896669073828809647e-04 -9.315088905951338810e-05 -1.965160183233675224e-04
2.080000000000000000e+02 -6.764621377163442580e-04 -9.537070812096758740e-05 -5.810914295953766842e-04
2.100000000000000000e+02 -9.153560456571939365e-04 -9.689308711956629006e-05 -8.184629585376273619e-04
2.120000000000000000e+02 -8.999621507937485007e-04 -9.711838269327118423e-05 -8.028437681004774520e-04
2.140000000000000000e+02 -5.735475342014690735e-04 -9.574224760699044548e-05 -4.778052865944786010e-04
2.160000000000000000e+02 -7.186346833765167291e-05 -9.343722490292071588e-05 2.157375656526902265e-05
2.180000000000000000e+02 3.417988403583322745e-04 -9.143043955249844073e-05 4.332292799108306068e-04
2.200000000000000000e+02 4.855522255432833116e-04 -9.048006069275454769e-05 5.760322862360378864e-04
2.220000000000000000e+02 3.482251323860315203e-04 -9.056388949901085863e-05 4.387890218850424196e-04
2.240000000000000000e+02 1.094379838335716743e-05 -9.136995918283599412e-05 1.023137575661931615e-04
2.260000000000000000e+02 -4.223556574850549162e-04 -9.259369582700312576e-05 -3.297619616580517226e-04
2.280000000000000000e+02 -8.134020834304281095e-04 -9.372754516230666084e-05 -7.196745382681213809e-04
2.300000000000000000e+02 -1.005008851861486892e-03 -9.403831715052446698e-05 -9.109705347109624523e-04
2.320000000000000000e+02 -9.184773850974987117e-04 -9.308534282974425557e-05 -8.253920422677547136e-04
2.340000000000000000e+02 -6.132976310407365446e-04 -9.112025893869804723e-05 -5.221773721020384973e-04
2.360000000000000000e+02 -2.273556608827420264e-04 -8.882019515900093211e-05 -1.385354657237410536e-04
2.380000000000000000e+02 1.099344519093977556e-04 -8.678310094141218319e-05 1.967175528508099524e-04
2.400000000000000000e+02 2.942983036806206014e-04 -8.540578579657116310e-05 3.797040894771917916e-04
2.420000000000000000e+02 2.448614355185510451e-04 -8.498889973749706496e-05 3.298503352560482049e-04
2.440000000000000000e+02 -3.604983062768666105e-05 -8.558005127964111406e-05 4.953022065195440557e-05
2.460000000000000000e+02 -4.145633441770499869e-04 -8.671416177625718212e-05 -3.278491824007927777e-04
2.480000000000000000e+02 -7.009941651579566779e-04 -8.760604678550805891e-05 -6.133881183724486461e-04
2.500000000000000000e+02 -7.887389447530010738e-04 -8.771917897823660096e-05 -7.010197657747645542e-04
2.520000000000000000e+02 -6.916253733821487327e-04 -8.703365139471818605e-05 -6.045917219874304789e-04
2.540000000000000000e+02 -4.618181560768910105e-04 -8.578704633367142084e-05 -3.760311097432196981e-04
2.560000000000000000e+02 -1.430599064550202432e-04 -8.422464197362702085e-05 -5.883526448139323589e-05
2.580000000000000000e+02 1.782176760488205403e-04 -8.271689232983243305e-05 2.609345683786528920e-04
2.600000000000000000e+02 3.541348725288909162e-04 -8.183984015431632964e-05 4.359747126832073136e-04
2.620000000000000000e+02 2.815255323738351462e-04 -8.201546730242127985e-05 3.635409996762562499e-04
2.640000000000000000e+02 1.333605523233070487e-05 -8.308086157168877313e-05 9.641691680401945428e-05
2.660000000000000000e+02 -2.882200204325964261e-04 -8.441079466047353257e-05 -2.038092257721228935e-04
2.680000000000000000e+02 -4.985569890011427429e-04 -8.545692269924013665e-05 -4.131000663019026740e-04
2.700000000000000000e+02 -5.871363244328667861e-04 -8.600864935402489030e-05 -5.011276750788418687e-04
