# wavenumber(cm^-1)  total O H
4.071827333961817175e+00 1.134562424672557954e-02 3.336370191797880056e-03 8.009254054927692976e-03
8.143654667923634349e+00 1.284451362559030710e-02 3.807487256076599186e-03 9.037026369513695770e-03
1.221548200188545152e+01 1.516007539149865149e-02 4.555473232902487214e-03 1.060460215859615127e-02
1.628730933584726870e+01 1.811549746218960727e-02 5.538042657970655355e-03 1.257745480421896059e-02
2.035913666980908587e+01 2.164092379896856433e-02 6.737837550501155071e-03 1.490308624846740058e-02
2.443096400377090305e+01 2.595934074096627533e-02 8.231928079180602514e-03 1.772741266178567976e-02
2.850279133773272022e+01 3.168492665811700054e-02 1.023571642208079453e-02 2.144921023603621121e-02
3.257461867169453740e+01 3.951968810609929328e-02 1.300071308443536376e-02 2.651897502166392778e-02
3.664644600565635812e+01 4.953776881266962195e-02 1.656163171514461740e-02 3.297613709752501843e-02
4.071827333961817175e+01 6.067783522027959953e-02 2.055591988241068854e-02 4.012191533786890751e-02
4.479010067357999247e+01 7.115137200500076808e-02 2.436509238752476367e-02 4.678627961747600789e-02
4.886192800754180610e+01 7.960176245813743723e-02 2.751589732220163786e-02 5.208586513593580630e-02
5.293375534150362682e+01 8.591596419921876393e-02 2.995703968054398356e-02 5.595892451867477690e-02
5.700558267546544045e+01 9.082506513250823699e-02 3.191726391523062867e-02 5.890780121727760138e-02
6.107741000942726117e+01 9.470610253925966504e-02 3.349374634776567522e-02 6.121235619149397594e-02
6.514923734338907479e+01 9.685681554079002276e-02 3.440760446181318627e-02 6.244921107897682955e-02
6.922106467735089552e+01 9.597977820873068722e-02 3.417401737356652591e-02 6.180576083516416130e-02
7.329289201131271625e+01 9.135903437656452131e-02 3.251166746200630925e-02 5.884736691455820512e-02
7.736471934527452277e+01 8.362322954230852479e-02 2.962078966348221515e-02 5.400243987882628882e-02
8.143654667923634349e+01 7.451099111647221940e-02 2.612542442408882781e-02 4.838556669238337771e-02
8.550837401319816422e+01 6.594977728613635182e-02 2.276236280841766393e-02 4.318741447771869135e-02
8.958020134715998495e+01 5.918595451915890926e-02 2.005124435538872818e-02 3.913471016377018108e-02
9.365202868112179146e+01 5.450092938533804970e-02 1.814706971296634747e-02 3.635385967237170224e-02
9.772385601508361219e+01 5.154554688018723324e-02 1.692970818577224992e-02 3.461583869441497985e-02
1.017956833490454329e+02 4.989620861905107174e-02 1.621634815097313526e-02 3.367986046807792955e-02
1.058675106830072536e+02 4.935424759667557393e-02 1.590709596022593306e-02 3.344715163644963740e-02
1.099393380169690602e+02 4.984099970837781168e-02 1.596960562997221111e-02 3.387139407840559363e-02
1.140111653509308809e+02 5.117303317315189531e-02 1.634771696123770574e-02 3.482531621191419652e-02
1.180829926848927016e+02 5.305725206521568621e-02 1.693698069039212620e-02 3.612027137482356348e-02
1.221548200188545223e+02 5.526923797484413481e-02 1.764281881899817592e-02 3.762641915584596930e-02
1.262266473528163289e+02 5.768703439500057900e-02 1.840779948439773966e-02 3.927923491060282546e-02
