# wavenumber(cm^-1)  total O H
4.071827333961817175e+00 1.804507041250609858e-02 5.421336086545630595e-03 1.262373432596045411e-02
8.143654667923634349e+00 1.989079815180707853e-02 6.046006341011410552e-03 1.384479181079567404e-02
1.221548200188545152e+01 2.295917430589445446e-02 7.087998378034669408e-03 1.587117592785976944e-02
1.628730933584726870e+01 2.721492455370232155e-02 8.540131140385593192e-03 1.867479341331673010e-02
2.035913666980908587e+01 3.256964092799871646e-02 1.037810368577950226e-02 2.219153724221920379e-02
2.443096400377090305e+01 3.885900155284804924e-02 1.255182291448698507e-02 2.630717863836103815e-02
2.850279133773272022e+01 4.583115246528456088e-02 1.498037474431160657e-02 3.085077772097291615e-02
3.257461867169453740e+01 5.315170875577486520e-02 1.755262491438013689e-02 3.559908384139473525e-02
3.664644600565635812e+01 6.042649305357271350e-02 2.013400500987965608e-02 4.029248804369307824e-02
4.071827333961817175e+01 6.723858678680832979e-02 2.257851431906107015e-02 4.466007246774725270e-02
4.479010067357999247e+01 7.319281079465425610e-02 2.474376988542222044e-02 4.844904090923204953e-02
4.886192800754180610e+01 7.795925114840586423e-02 2.650635590432736874e-02 5.145289524407847120e-02
5.293375534150362682e+01 8.130812874857064332e-02 2.777484337670039355e-02 5.353328537187027059e-02
5.700558267546544045e+01 8.313074446084772751e-02 2.849854678115013029e-02 5.463219767969761109e-02
6.107741000942726117e+01 8.344452843169472556e-02 2.867108767655342574e-02 5.477344075514129634e-02
6.514923734338907479e+01 8.238337401475799571e-02 2.832883677620910701e-02 5.405453723854887482e-02
6.922106467735089552e+01 8.017664840826002615e-02 2.754506051851838416e-02 5.263158788974163504e-02
7.329289201131271625e+01 7.712118662903878763e-02 2.642099017109435927e-02 5.070019645794440755e-02
7.736471934527452277e+01 7.355032014049422973e-02 2.507508785293357037e-02 4.847523228756062119e-02
8.143654667923634349e+01 6.980304855986718682e-02 2.363163281038656999e-02 4.617141574948060989e-02
8.550837401319816422e+01 6.619542949087670047e-02 2.220955098462755462e-02 4.398587850624913892e-02
8.958020134715998495e+01 6.299559824284053922e-02 2.091227767966995221e-02 4.208332056317058006e-02
9.365202868112179146e+01 6.040369255421753486e-02 1.981940733640250030e-02 4.058428521781502762e-02
9.772385601508361219e+01 5.853817254970031941e-02 1.898088844340884915e-02 3.955728410629145986e-02
1.017956833490454329e+02 5.743019896447687511e-02 1.841445716723446799e-02 3.901574179724240365e-02
1.058675106830072536e+02 5.702744864301660666e-02 1.810676993694599127e-02 3.892067870607060498e-02
1.099393380169690602e+02 5.720777266330316635e-02 1.801825528810107116e-02 3.918951737520209172e-02
1.140111653509308809e+02 5.780151341437492207e-02 1.809111265352451176e-02 3.971040076085038950e-02
1.180829926848927016e+02 5.861947425193390210e-02 1.825927732029533623e-02 4.036019693163855893e-02
1.221548200188545223e+02 5.948204381040467226e-02 1.845872326195743818e-02 4.102332054844724102e-02
1.262266473528163289e+02 6.024436256099975628e-02 1.863634433427330608e-02 4.160801822672644673e-02
1.302984746867781496e+02 6.081300361158770151e-02 1.875591572531980222e-02 4.205708788626789929e-02
1.343703020207399561e+02 6.115138773381724457e-02 1.880025607247694588e-02 4.235113166134030216e-02
1.384421293547017910e+02 6.127365940220445839e-02 1.876954275026861477e-02 4.250411665193584709e-02
1.425139566886635976e+02 6.122935632474853923e-02 1.867656660244734063e-02 4.255278972230117085e-02
1.465857840226254325e+02 6.108319727036928132e-02 1.854033039272468680e-02 4.254286687764459451e-02
1.506576113565872390e+02 6.089515036380600127e-02 1.837963994763120931e-02 4.251551041617478155e-02
1.547294386905490455e+02 6.070542427871966629e-02 1.820815777297692811e-02 4.249726650574273124e-02
1.588012660245108805e+02 6.052734432526375025e-02 1.803185585863685547e-02 4.249548846662687396e-02
1.628730933584726870e+02 6.034876068905682678e-02 1.784908435101311558e-02 4.249967633804370426e-02
1.669449206924344935e+02 6.014037187149869068e-02 1.765277653558602888e-02 4.248759533591267568e-02
1.710167480263963284e+02 5.986775988369115453e-02 1.743382779731937268e-02 4.243393208637176450e-02
1.750885753603581350e+02 5.950340556309398343e-02 1.718452952294339392e-02 4.231887604015060339e-02
1.791604026943199699e+02 5.903551557428239616e-02 1.690111452962160532e-02 4.213440104466078390e-02
1.832322300282817764e+02 5.847184914677400203e-02 1.658488435491911259e-02 4.188696479185488597e-02
1.873040573622435829e+02 5.783837586397776870e-02 1.624188381278007798e-02 4.159649205119769072e-02
1.913758846962054179e+02 5.717399304464080428e-02 1.588150104657006650e-02 4.129249199807072390e-02
1.954477120301672244e+02 5.652329980240711205e-02 1.551458584311368044e-02 4.100871395929342467e-02
1.995195393641290309e+02 5.592944258228248894e-02 1.515166084302659207e-02 4.077778173925589861e-02
2.035913666980908658e+02 5.542846230124817697e-02 1.480160000926201112e-02 4.062686229198615717e-02
