# wavenumber(cm^-1)  total O H
3.949672513942962837e+02 5.093719261057780834e-01 5.896934285134110276e-03 5.034749918206439245e-01
3.990390787282580618e+02 5.218071119860632212e-01 5.681907190116883104e-03 5.161252047959462574e-01
4.031109060622198967e+02 5.339323714292596446e-01 5.482672602463461997e-03 5.284496988267962658e-01
4.071827333961817317e+02 5.457006272622095810e-01 5.298163890306310277e-03 5.404024633719032300e-01
4.112545607301435666e+02 5.571254433659371674e-01 5.127383645281188840e-03 5.519980597206559647e-01
4.153263880641053447e+02 5.682705982782880749e-01 4.969383434228878509e-03 5.633012148440592615e-01
4.193982153980671796e+02 5.792224650329019786e-01 4.823216427536547793e-03 5.743992486053655089e-01
4.234700427320290146e+02 5.900526531872417602e-01 4.687870334012033541e-03 5.853647828532297925e-01
4.275418700659907927e+02 6.007825903403605228e-01 4.562203819995914837e-03 5.962203865203645758e-01
4.316136973999526276e+02 6.113622552325259640e-01 4.444918050904815045e-03 6.069173371816212192e-01
4.356855247339144626e+02 6.216715046570160386e-01 4.334590515584450278e-03 6.173369141414315475e-01
4.397573520678762407e+02 6.315453018855594625e-01 4.229780460553738200e-03 6.273155214250056844e-01
4.438291794018380756e+02 6.408159512594059359e-01 4.129189566324001706e-03 6.366867616930818041e-01
4.479010067357999105e+02 6.493590703841675138e-01 4.031837447248243569e-03 6.453272329369192928e-01
4.519728340697616886e+02 6.571279353893035857e-01 3.937198962349305539e-03 6.531907364269542438e-01
4.560446614037235236e+02 6.641640531986379159e-01 3.845255317681651932e-03 6.603187978809563763e-01
4.601164887376853585e+02 6.705794923416874553e-01 3.756433327113361566e-03 6.668230590145739489e-01
4.641883160716471366e+02 6.765161040305249784e-01 3.671440240663391332e-03 6.728446637898615190e-01
4.682601434056089715e+02 6.820949310166180002e-01 3.591034274405146502e-03 6.785038967422127865e-01
4.723319707395708065e+02 6.873728642344456574e-01 3.515792121381846637e-03 6.838570721130639019e-01
4.764037980735326414e+02 6.923214939397309697e-01 3.445936819411620725e-03 6.888755571203193373e-01
