# wavenumber(cm^-1)  total O H
4.071827333961817175e+00 1.730527186921127988e-02 5.045821732399959070e-03 1.225945013681132428e-02
8.143654667923634349e+00 1.892393207382262257e-02 5.585241690490125484e-03 1.333869038333247541e-02
1.221548200188545152e+01 2.165417512414211446e-02 6.500621947575311449e-03 1.515355317656678219e-02
1.628730933584726870e+01 2.551419342803625326e-02 7.805249258661852568e-03 1.770894416937440416e-02
2.035913666980908587e+01 3.047763681822771020e-02 9.498488487971931335e-03 2.097914833025576672e-02
2.443096400377090305e+01 3.644069074715705625e-02 1.155319136776967667e-02 2.488749937938737264e-02
2.850279133773272022e+01 4.320077482209748465e-02 1.390696469182181420e-02 2.929381013027566871e-02
3.257461867169453740e+01 5.045408163209384039e-02 1.645996315980353258e-02 3.399411847229030087e-02
3.664644600565635812e+01 5.781445354539727077e-02 1.908027656054845506e-02 3.873417698484880878e-02
4.071827333961817175e+01 6.485085854309735609e-02 2.161617702596192042e-02 4.323468151713542873e-02
4.479010067357999247e+01 7.113638852020981451e-02 2.391295443478714394e-02 4.722343408542268445e-02
4.886192800754180610e+01 7.629933292660881494e-02 2.583116250234017766e-02 5.046817042426864075e-02
5.293375534150362682e+01 8.006691441286255262e-02 2.726298680020241769e-02 5.280392761266011759e-02
5.700558267546544045e+01 8.229444565899352027e-02 2.814406201816161551e-02 5.415038364083191169e-02
6.107741000942726117e+01 8.297616100522257898e-02 2.845916020247584929e-02 5.451700080274673316e-02
6.514923734338907479e+01 8.223773506532092159e-02 2.824141112331737119e-02 5.399632394200353652e-02
6.922106467735089552e+01 8.031357674596992235e-02 2.756579397515930563e-02 5.274778277081060285e-02
7.329289201131271625e+01 7.751381674329702043e-02 2.653836270624672714e-02 5.097545403705025513e-02
7.736471934527452277e+01 7.418641053305083388e-02 2.528298811712134664e-02 4.890342241592947337e-02
8.143654667923634349e+01 7.067928020363271890e-02 2.392739368702012648e-02 4.675188651661259243e-02
8.550837401319816422e+01 6.730642707053474671e-02 2.259006272736607118e-02 4.471636434316866165e-02
8.958020134715998495e+01 6.432091243514022338e-02 2.136932176140048795e-02 4.295159067373972850e-02
9.365202868112179146e+01 6.189674196765075631e-02 2.033561543672326305e-02 4.156112653092747244e-02
9.772385601508361219e+01 6.012094855509617780e-02 1.952766797085170661e-02 4.059328058424446772e-02
1.017956833490454329e+02 5.899633740687766637e-02 1.895282546841762020e-02 4.004351193846005658e-02
1.058675106830072536e+02 5.845424920125203566e-02 1.859136241977086060e-02 3.986288678148117853e-02
1.099393380169690602e+02 5.837531785847573790e-02 1.840395044268628225e-02 3.997136741578945218e-02
1.140111653509308809e+02 5.861481035679772661e-02 1.834094213779784155e-02 4.027386821899989200e-02
1.180829926848927016e+02 5.902817624069933017e-02 1.835177819188777565e-02 4.067639804881154758e-02
1.221548200188545223e+02 5.949233447904260508e-02 1.839282375862317034e-02 4.109951072041943126e-02
1.262266473528163289e+02 5.991919383080335920e-02 1.843233598271086515e-02 4.148685784809250099e-02
1.302984746867781496e+02 6.025978927981653216e-02 1.845198596015502207e-02 4.180780331966151009e-02
1.343703020207399561e+02 6.049971965887591951e-02 1.844521424981605123e-02 4.205450540905984746e-02
1.384421293547017910e+02 6.064859902104511452e-02 1.841343859804474986e-02 4.223516042300035772e-02
1.425139566886635976e+02 6.072735990407351903e-02 1.836153425379277032e-02 4.236582565028074177e-02
1.465857840226254325e+02 6.075715008332724376e-02 1.829396130618904381e-02 4.246318877713820689e-02
1.506576113565872390e+02 6.075235856754206132e-02 1.821246407157057698e-02 4.253989449597149475e-02
1.547294386905490455e+02 6.071849291830691553e-02 1.811559634915941783e-02 4.260289656914750811e-02
1.588012660245108805e+02 6.065389900558385006e-02 1.799968253751221825e-02 4.265421646807163181e-02
1.628730933584726870e+02 6.055327336383959508e-02 1.786042936070126805e-02 4.269284400313832356e-02
1.669449206924344935e+02 6.041085947528324063e-02 1.769436699162243304e-02 4.271649248366080759e-02
1.710167480263963284e+02 6.022202291789690437e-02 1.749958549190987200e-02 4.272243742598701849e-02
1.750885753603581350e+02 5.998311051141679701e-02 1.727568322339475410e-02 4.270742728802203597e-02
1.791604026943199699e+02 5.969053396624183355e-02 1.702324776317003241e-02 4.266728620307179420e-02
1.832322300282817764e+02 5.934042463041671461e-02 1.674337526579715643e-02 4.259704936461955471e-02
1.873040573622435829e+02 5.892984127185293269e-02 1.643763791237892735e-02 4.249220335947398453e-02
1.913758846962054179e+02 5.845959222338626554e-02 1.610859704825292130e-02 4.235099517513332690e-02
1.954477120301672244e+02 5.793771576589459849e-02 1.576059223904355266e-02 4.217712352685104582e-02
1.995195393641290309e+02 5.738203924081217849e-02 1.540029473964132228e-02 4.198174450117084927e-02
2.035913666980908658e+02 5.682031346942057609e-02 1.503651907877375828e-02 4.178379439064683343e-02
2.076631940320526724e+02 5.628718624657605418e-02 1.467904797046900092e-02 4.160813827610705673e-02
2.117350213660145073e+02 5.581842704883972078e-02 1.433663805678624462e-02 4.148178899205348658e-02
2.158068486999763138e+02 5.544387438977674276e-02 1.401476293757844549e-02 4.142911145219831115e-02
2.198786760339381203e+02 5.518112059359546462e-02 1.371384732485678680e-02 4.146727326873868996e-02
2.239505033678999553e+02 5.503176881170504520e-02 1.342866027915359632e-02 4.160310853255146102e-02
2.280223307018617618e+02 5.498128122229178905e-02 1.314918861396334460e-02 4.183209260832843751e-02
2.320941580358235683e+02 5.500231570928720837e-02 1.286282976773406653e-02 4.213948594155314531e-02
2.361659853697854032e+02 5.506044511604395175e-02 1.255730479060276385e-02 4.250314032544119658e-02
2.402378127037472098e+02 5.512061040381700805e-02 1.222345584593245715e-02 4.289715455788453008e-02
2.443096400377090447e+02 5.515270917151196550e-02 1.185713889118117370e-02 4.329557028033076405e-02
2.483814673716708512e+02 5.513525799617274847e-02 1.145972530909205797e-02 4.367553268708068009e-02
2.524532947056326577e+02 5.505681896031326683e-02 1.103717026656948069e-02 4.401964869374375838e-02
2.565251220395944642e+02 5.491554239391237269e-02 1.059803284726790543e-02 4.431750954664447073e-02
2.605969493735562992e+02 5.471754025215052469e-02 1.015110444073972877e-02 4.456643581141078725e-02
2.646687767075181341e+02 5.447482442349387000e-02 9.703344723843491254e-03 4.477147969965038221e-02
2.687406040414799122e+02 5.420333012891803692e-02 9.258650905082699972e-03 4.494467922383532654e-02
2.728124313754417472e+02 5.392127550476693426e-02 8.817678099696080185e-03 4.510359740507084714e-02
2.768842587094035821e+02 5.364793188127285617e-02 8.378601519543973225e-03 4.526933036172889335e-02
2.809560860433653602e+02 5.340283989824243238e-02 7.938467717545267394e-03 4.546437218069716846e-02
2.850279133773271951e+02 5.320553958309568593e-02 7.494681061510668520e-03 4.571085852158502522e-02
2.890997407112890301e+02 5.307586969140622168e-02 7.046215707593317043e-03 4.602965398381290985e-02
2.931715680452508650e+02 5.303474771790361864e-02 6.594289922382078409e-03 4.644045779552153502e-02
2.972433953792126431e+02 5.310508258606434773e-02 6.142424569641204493e-03 4.696265801642313109e-02
3.013152227131744780e+02 5.331222393369779849e-02 5.695971278841699056e-03 4.761625265485609076e-02
3.053870500471363130e+02 5.368329577832604838e-02 5.261300717191632476e-03 4.842199506113444019e-02
3.094588773810980911e+02 5.424503194449421112e-02 4.844877142735480591e-03 4.940015480175875828e-02
3.135307047150599260e+02 5.502031813012632500e-02 4.452423011355845575e-03 5.056789511877049503e-02
3.176025320490217609e+02 5.602436414065768699e-02 4.088318159790953546e-03 5.193604598086673518e-02
3.216743593829835390e+02 5.726196312135075489e-02 3.755303632245974091e-03 5.350665948910477560e-02
3.257461867169453740e+02 5.872732240186281233e-02 3.454487250933755988e-03 5.527283515092906718e-02
3.298180140509072089e+02 6.040730447839921802e-02 3.185587856977211123e-03 5.722171662142200993e-02
3.338898413848689870e+02 6.228769674777516474e-02 2.947315590326859275e-03 5.934038115744830894e-02
3.379616687188308219e+02 6.436072037337500773e-02 2.737772204036711433e-03 6.162294816933830410e-02
3.420334960527926569e+02 6.663095526993478845e-02 2.554770565596812051e-03 6.407618470433798508e-02
3.461053233867544918e+02 6.911673351889827122e-02 2.396012879608650989e-03 6.672072063928963237e-02
3.501771507207162699e+02 7.184510833550630804e-02 2.259122190603754694e-03 6.958598614490255074e-02
3.542489780546781049e+02 7.484058159640316621e-02 2.141574886077874523e-03 7.269900671032528128e-02
3.583208053886399398e+02 7.811026450005932598e-02 2.040615627154002305e-03 7.606964887290534882e-02
3.623926327226017179e+02 8.163016240807971502e-02 1.953238381344567839e-03 7.967692402673513807e-02
3.664644600565635528e+02 8.533794380424315762e-02 1.876287015910807314e-03 8.346165678833236679e-02
3.705362873905253878e+02 8.913636577063399624e-02 1.806677530914868298e-03 8.732968823971912209e-02
3.746081147244871659e+02 9.290859535873499664e-02 1.741691169281469774e-03 9.116690418945352925e-02
3.786799420584490008e+02 9.654277174766812131e-02 1.679253736219142850e-03 9.486351801144897455e-02
3.827517693924108357e+02 9.995955703912848267e-02 1.618114371577114054e-03 9.834144266755133479e-02
3.868235967263726138e+02 1.031344517319391918e-01 1.557866996049520622e-03 1.015765847358896662e-01
3.908954240603344488e+02 1.061072173380002426e-01 1.498807542169246134e-03 1.046084097958310116e-01
3.949672513942962837e+02 1.089739657676016549e-01 1.441670682168251505e-03 1.075322950854334103e-01
3.990390787282580618e+02 1.118625251207177596e-01 1.387322819757755895e-03 1.104752023009600015e-01
4.031109060622198967e+02 1.148970278599970030e-01 1.336493390089684308e-03 1.135605344699072983e-01
4.071827333961817317e+02 1.181615048482821811e-01 1.289605041503255785e-03 1.168718998067789783e-01
4.112545607301435666e+02 1.216732036190798505e-01 1.246725707482103243e-03 1.204264779115977180e-01
4.153263880641053447e+02 1.253738876551466763e-01 1.207626878011641095e-03 1.241662607771350513e-01
4.193982153980671796e+02 1.291421641946934040e-01 1.171905498273708747e-03 1.279702586964197031e-01
4.234700427320290146e+02 1.328235530945384990e-01 1.139118283917558896e-03 1.316844348106209484e-01
4.275418700659907927e+02 1.362696115061750035e-01 1.108885645428397352e-03 1.351607258607466222e-01
4.316136973999526276e+02 1.393747580773542216e-01 1.080941213636527932e-03 1.382938168637177223e-01
4.356855247339144626e+02 1.421003740530257242e-01 1.055123922098141591e-03 1.410452501309275575e-01
4.397573520678762407e+02 1.444799424203343230e-01 1.031326372393393627e-03 1.434486160479409300e-01
4.438291794018380756e+02 1.466049570497530707e-01 1.009422895430062183e-03 1.455955341543230253e-01
