# wavenumber(cm^-1)  total O H
4.071827333961817175e+00 2.785186049694016175e-01 8.720101027843993324e-02 1.913175946909616842e-01
8.143654667923634349e+00 3.000587146750149370e-01 9.450654557811977163e-02 2.055521690968951098e-01
1.221548200188545152e+01 3.338801524028385259e-01 1.060100898850315498e-01 2.278700625178068928e-01
1.628730933584726870e+01 3.771588232180378975e-01 1.207933488607279005e-01 2.563654743573098860e-01
2.035913666980908587e+01 4.264698623136474742e-01 1.377337009646287525e-01 2.887361613490186940e-01
2.443096400377090305e+01 4.781935060334984722e-01 1.556307628202699411e-01 3.225627432132284755e-01
2.850279133773272022e+01 5.288956034796277184e-01 1.733269749770850465e-01 3.555686285025425608e-01
3.257461867169453740e+01 5.756262419202899938e-01 1.898049179077732351e-01 3.858213240125166754e-01
3.664644600565635812e+01 6.161044733534289941e-01 2.042510921450280681e-01 4.118533812084008150e-01
4.071827333961817175e+01 6.487854289579795264e-01 2.160841823723373967e-01 4.327012465856420742e-01
4.479010067357999247e+01 6.728304280815098348e-01 2.249531241295962547e-01 4.478773039519137744e-01
4.886192800754180610e+01 6.880151900753592731e-01 2.307148518340587928e-01 4.573003382413003415e-01
5.293375534150362682e+01 6.946135952278652548e-01 2.334026454741144896e-01 4.612109497537506542e-01
5.700558267546544045e+01 6.932861366854288221e-01 2.331938449354039045e-01 4.600922917500249731e-01
6.107741000942726117e+01 6.849877796659555873e-01 2.303816096351415932e-01 4.546061700308139386e-01
6.514923734338907479e+01 6.708951716588658076e-01 2.253510437408479117e-01 4.455441279180178960e-01
6.922106467735089552e+01 6.523430604296081015e-01 2.185569146439381716e-01 4.337861457856698744e-01
7.329289201131271625e+01 6.307570998917579885e-01 2.104992646527657496e-01 4.202578352389922389e-01
7.736471934527452277e+01 6.075747227608451206e-01 2.016944853144498340e-01 4.058802374463952312e-01
8.143654667923634349e+01 5.841546511129647179e-01 1.926421287766491020e-01 3.915125223363155049e-01
8.550837401319816422e+01 5.616848164542016519e-01 1.837906547215424624e-01 3.778941617326592173e-01
8.958020134715998495e+01 5.411041613732887612e-01 1.755072526409556521e-01 3.655969087323329703e-01
