# wavenumber(cm^-1)  total O H
4.071827333961817175e+00 2.688469960565876421e-02 8.670647146678795922e-03 1.821405245897996655e-02
8.143654667923634349e+00 2.807876786075468381e-02 9.102764924505245964e-03 1.897600293624943785e-02
1.221548200188545152e+01 3.001629257806174775e-02 9.804017716165874807e-03 2.021227486189586253e-02
1.628730933584726870e+01 3.262105675140539174e-02 1.074692885168353033e-02 2.187412789972185273e-02
2.035913666980908587e+01 3.579154297556207814e-02 1.189485830994143310e-02 2.389668466562062596e-02
2.443096400377090305e+01 3.940578579772205381e-02 1.320371634343821612e-02 2.620206945428381687e-02
2.850279133773272022e+01 4.332715405475663639e-02 1.462401096416443905e-02 2.870314309059218694e-02
3.257461867169453740e+01 4.741075613496263663e-02 1.610312382373666959e-02 3.130763231122594970e-02
3.664644600565635812e+01 5.151012969142688969e-02 1.758769752940413100e-02 3.392243216202275868e-02
4.071827333961817175e+01 5.548386486755570168e-02 1.902601221031582912e-02 3.645785265723986562e-02
4.479010067357999247e+01 5.920181733976034172e-02 2.037023053497991412e-02 3.883158680478043107e-02
4.886192800754180610e+01 6.255059408087015882e-02 2.157839837775655731e-02 4.097219570311359804e-02
5.293375534150362682e+01 6.543803921224390641e-02 2.261610256666957836e-02 4.282193664557430723e-02
5.700558267546544045e+01 6.779650707986567548e-02 2.345770687751733835e-02 4.433880020234833713e-02
6.107741000942726117e+01 6.958478124643119322e-02 2.408711158961666585e-02 4.549766965681454473e-02
6.514923734338907479e+01 7.078857716232628272e-02 2.449800911324904323e-02 4.629056804907723255e-02
6.922106467735089552e+01 7.141964807320966280e-02 2.469363684367130093e-02 4.672601122953835839e-02
7.329289201131271625e+01 7.151359322753329806e-02 2.468605676808453137e-02 4.682753645944875281e-02
7.736471934527452277e+01 7.112653974847123195e-02 2.449501770557265673e-02 4.663152204289856828e-02
8.143654667923634349e+01 7.033093014193267378e-02 2.414647874618375267e-02 4.618445139574891417e-02
8.550837401319816422e+01 6.921069257377132633e-02 2.367089003634735220e-02 4.553980253742397066e-02
8.958020134715998495e+01 6.785609802190736839e-02 2.310133841553952891e-02 4.475475960636784295e-02
9.365202868112179146e+01 6.635861566609624340e-02 2.247166983399044235e-02 4.388694583210579064e-02
9.772385601508361219e+01 6.480606523371665317e-02 2.181469773429271439e-02 4.299136749942392838e-02
1.017956833490454329e+02 6.327833365751614481e-02 2.116059692052999625e-02 4.211773673698615550e-02
1.058675106830072536e+02 6.184387579862382633e-02 2.053556661483450438e-02 4.130830918378931849e-02
1.099393380169690602e+02 6.055715874286301398e-02 1.996082560000477304e-02 4.059633314285823052e-02
1.140111653509308809e+02 5.945714074346723776e-02 1.945197810826495427e-02 4.000516263520227656e-02
1.180829926848927016e+02 5.856680423294648857e-02 1.901876321807994749e-02 3.954804101486654455e-02
1.221548200188545223e+02 5.789369257836263216e-02 1.866517484093189669e-02 3.922851773743073200e-02
1.262266473528163289e+02 5.743133727668784522e-02 1.838991574898197340e-02 3.904142152770587182e-02
1.302984746867781496e+02 5.716141032918238551e-02 1.818712915240309341e-02 3.897428117677929210e-02
1.343703020207399561e+02 5.705639890401636993e-02 1.804733640207440218e-02 3.900906250194197122e-02
1.384421293547017910e+02 5.708257822011168769e-02 1.795850036839232583e-02 3.912407785171935493e-02
1.425139566886635976e+02 5.720305466269317435e-02 1.790713134296888914e-02 3.929592331972429214e-02
1.465857840226254325e+02 5.738066391665042065e-02 1.787935583027168776e-02 3.950130808637872942e-02
1.506576113565872390e+02 5.758053654865167431e-02 1.786187775551291088e-02 3.971865879313875303e-02
1.547294386905490455e+02 5.777218306889526922e-02 1.784277540207307444e-02 3.992940766682218090e-02
1.588012660245108805e+02 5.793099833431741841e-02 1.781209446759934173e-02 4.011890386671806974e-02
1.628730933584726870e+02 5.803913701965638522e-02 1.776221645071244387e-02 4.027692056894392747e-02
1.669449206924344935e+02 5.808576347755260716e-02 1.768800054379971939e-02 4.039776293375288430e-02
1.710167480263963284e+02 5.806672658826021738e-02 1.758671478128488383e-02 4.048001180697534396e-02
1.750885753603581350e+02 5.798374970404984730e-02 1.745778705081121179e-02 4.052596265323862162e-02
1.791604026943199699e+02 5.784325491347184350e-02 1.730241769989212738e-02 4.054083721357970571e-02
1.832322300282817764e+02 5.765495800451803099e-02 1.712310222756213002e-02 4.053185577695589403e-02
