4.071827333961818951e+00 -2.971399924697283312e-01 -4.141646687915966396e+01
8.143654667923637902e+00 -1.321981051399255536e-01 -1.839248662652504152e+01
1.221548200188544975e+01 -7.208769979999229971e-02 -1.001103364546032815e+01
1.628730933584727580e+01 -4.018692041010582527e-02 -5.570629407885805406e+00
2.035913666980907877e+01 -2.125017532532650494e-02 -2.940242145822423048e+00
2.443096400377089950e+01 -9.958616208297060152e-03 -1.375371015005514508e+00
2.850279133773272022e+01 -3.646410771794834308e-03 -5.026735148046146406e-01
3.257461867169455161e+01 -5.851076850271978019e-04 -8.051095971572044818e-02
3.664644600565635102e+01 4.942881204432311888e-04 6.788868700985266347e-02
4.071827333961815754e+01 5.304363584391038255e-04 7.271898386569794481e-02
4.479010067358000668e+01 1.682027378944870764e-04 2.301675534960990338e-02
4.886192800754179899e+01 -2.106740407861316022e-04 -2.877516564625908629e-02
5.293375534150364814e+01 -4.379023584318517950e-04 -5.970065533504439331e-02
5.700558267546544045e+01 -4.923540440606148259e-04 -6.699980983895229003e-02
6.107741000942725407e+01 -4.306136380829444924e-04 -5.848942141352736490e-02
6.514923734338910322e+01 -3.288051295918372548e-04 -4.457802770707570972e-02
6.922106467735088131e+01 -2.451157869748371446e-04 -3.317000252713188380e-02
7.329289201131270204e+01 -2.050471191584288147e-04 -2.769612956688826191e-02
7.736471934527455119e+01 -2.048321270839800648e-04 -2.761556329313568509e-02
8.143654667923631507e+01 -2.247254695797684350e-04 -3.024111358424121446e-02
8.550837401319815001e+01 -2.436119668610037172e-04 -3.272148322263410125e-02
8.958020134716001337e+01 -2.488817134294441609e-04 -3.336686923085184497e-02
9.365202868112174883e+01 -2.392854606127199461e-04 -3.202035306178768748e-02
9.772385601508359798e+01 -2.219091764430890408e-04 -2.963955134327257018e-02
1.017956833490454613e+02 -2.063792679879662066e-04 -2.751365029041729152e-02
1.058675106830072963e+02 -1.996039021469140501e-04 -2.656049566144700474e-02
1.099393380169690602e+02 -2.031793205069400805e-04 -2.698552518607585243e-02
1.140111653509308809e+02 -2.138690444152242332e-04 -2.835193740277770422e-02
1.180829926848927727e+02 -2.261326399383246173e-04 -2.992131825224443945e-02
1.221548200188545081e+02 -2.350543674499165256e-04 -3.104328480088190331e-02
1.262266473528163289e+02 -2.382636046354979250e-04 -3.140784503802562799e-02
