4.071827333961817175e+00 1.128031847372180929e-03
8.143654667923634349e+00 1.307686075568643969e-03
1.221548200188545152e+01 1.598005298815141683e-03
1.628730933584726870e+01 1.987788972592796546e-03
2.035913666980908587e+01 2.465316471293979485e-03
2.443096400377090305e+01 3.020456469708965221e-03
2.850279133773272022e+01 3.645550566800949497e-03
3.257461867169453740e+01 4.334793962945900081e-03
3.664644600565635812e+01 5.082450059067896049e-03
4.071827333961817175e+01 5.880733396198207889e-03
4.479010067357999247e+01 6.718374490094857106e-03
4.886192800754180610e+01 7.580655298190927191e-03
5.293375534150362682e+01 8.451146094323940677e-03
5.700558267546544045e+01 9.314690868240060179e-03
6.107741000942726117e+01 1.016064694795197620e-02
6.514923734338907479e+01 1.098520813127062262e-02
6.922106467735089552e+01 1.179191351254688450e-02
7.329289201131271625e+01 1.259007158065481025e-02
7.736471934527452277e+01 1.339156982482781963e-02
8.143654667923634349e+01 1.420710267607545006e-02
8.550837401319816422e+01 1.504301486991702075e-02
8.958020134715998495e+01 1.589966804625776720e-02
9.365202868112179146e+01 1.677162957221386974e-02
9.772385601508361219e+01 1.764931853003118972e-02
1.017956833490454329e+02 1.852130204909296918e-02
1.058675106830072536e+02 1.937638292778881902e-02
1.099393380169690602e+02 2.020494097846764828e-02
1.140111653509308809e+02 2.099949911118439982e-02
1.180829926848927016e+02 2.175491566831591617e-02
1.221548200188545223e+02 2.246874213047172358e-02
1.262266473528163289e+02 2.314206945504069385e-02
1.302984746867781496e+02 2.378073883126717233e-02
1.343703020207399561e+02 2.439635610811323463e-02
1.384421293547017910e+02 2.500636508027812704e-02
1.425139566886635976e+02 2.563262187539882067e-02
1.465857840226254325e+02 2.629840582695079296e-02
1.506576113565872390e+02 2.702438379598619614e-02
1.547294386905490455e+02 2.782445274725648884e-02
1.588012660245108805e+02 2.870244337364718373e-02
1.628730933584726870e+02 2.965037190083693458e-02
1.669449206924344935e+02 3.064844338701230853e-02
1.710167480263963284e+02 3.166658112121813889e-02
1.750885753603581350e+02 3.266707160293845502e-02
1.791604026943199699e+02 3.360800387134603440e-02
1.832322300282817764e+02 3.444740276711807242e-02
1.873040573622435829e+02 3.514807490441709120e-02
1.913758846962054179e+02 3.568302205809432970e-02
1.954477120301672244e+02 3.604082346126639969e-02
1.995195393641290309e+02 3.622985083904346759e-02
2.035913666980908658e+02 3.627988926196988595e-02
2.076631940320526724e+02 3.623998156358380213e-02
2.117350213660145073e+02 3.617216681748382234e-02
2.158068486999763138e+02 3.614201783598228190e-02
2.198786760339381203e+02 3.620803511006247255e-02
2.239505033678999553e+02 3.641251635657802299e-02
2.280223307018617618e+02 3.677617832180474222e-02
2.320941580358235683e+02 3.729761497206789123e-02
2.361659853697854032e+02 3.795706885377417988e-02
2.402378127037472098e+02 3.872261883704356672e-02
2.443096400377090447e+02 3.955632762528830948e-02
2.483814673716708512e+02 4.041838760250508061e-02
2.524532947056326577e+02 4.126862801592406926e-02
2.565251220395944642e+02 4.206629007263155973e-02
2.605969493735562992e+02 4.277001125964778605e-02
2.646687767075181341e+02 4.333997354045029948e-02
2.687406040414799122e+02 4.374311145727770300e-02
2.728124313754417472e+02 4.396059735405281887e-02
2.768842587094035821e+02 4.399528424876401195e-02
2.809560860433653602e+02 4.387612389242417921e-02
2.850279133773271951e+02 4.365715383424891710e-02
2.890997407112890301e+02 4.341028953413411662e-02
2.931715680452508650e+02 4.321322532986807824e-02
2.972433953792126431e+02 4.313541855289447502e-02
3.013152227131744780e+02 4.322576354759912615e-02
3.053870500471363130e+02 4.350497146905762946e-02
3.094588773810980911e+02 4.396418290852714683e-02
3.135307047150599260e+02 4.456960618145984487e-02
3.176025320490217609e+02 4.527164789278979862e-02
3.216743593829835390e+02 4.601643503257722700e-02
3.257461867169453740e+02 4.675773999524687752e-02
3.298180140509072089e+02 4.746771150754370422e-02
3.338898413848689870e+02 4.814504843135264389e-02
3.379616687188308219e+02 4.881915533486363284e-02
3.420334960527926569e+02 4.954861917599180654e-02
3.461053233867544918e+02 5.041257013543356397e-02
3.501771507207162699e+02 5.149462963436647611e-02
3.542489780546781049e+02 5.286128897646544950e-02
3.583208053886399398e+02 5.453916194722062405e-02
3.623926327226017179e+02 5.649754698476264908e-02
3.664644600565635528e+02 5.864294606343367633e-02
3.705362873905253878e+02 6.082991809931222182e-02
3.746081147244871659e+02 6.288813632617562543e-02
3.786799420584490008e+02 6.466006040465033244e-02
3.827517693924108357e+02 6.603919048555510762e-02
3.868235967263726138e+02 6.699734149286047658e-02
3.908954240603344488e+02 6.759177029631176226e-02
3.949672513942962837e+02 6.794888020634512471e-02
3.990390787282580618e+02 6.822876501340595368e-02
4.031109060622198967e+02 6.858137580669232403e-02
4.071827333961817317e+02 6.910812969657631477e-02
4.112545607301435666e+02 6.984105469335574745e-02
4.153263880641053447e+02 7.074556480913245238e-02
4.193982153980671796e+02 7.174480851636104439e-02
4.234700427320290146e+02 7.275620598807627792e-02
4.275418700659907927e+02 7.372695890508111638e-02
4.316136973999526276e+02 7.465630904940426249e-02
4.356855247339144626e+02 7.559761557518167308e-02
4.397573520678762407e+02 7.664078242264524277e-02
4.438291794018380756e+02 7.788233480130432596e-02
4.479010067357999105e+02 7.939407582144983322e-02
4.519728340697616886e+02 8.120066713773006761e-02
4.560446614037235236e+02 8.327228688002810686e-02
4.601164887376853585e+02 8.553267210216626559e-02
4.641883160716471366e+02 8.787774132289057072e-02
4.682601434056089715e+02 9.019744005160398870e-02
4.723319707395708065e+02 9.239402922531550488e-02
4.764037980735326414e+02 9.439296414619616216e-02
4.804756254074944195e+02 9.614615520924810199e-02
4.845474527414562544e+02 9.763009126154012507e-02
4.886192800754180894e+02 9.884208679959929911e-02
4.926911074093798675e+02 9.979688921449011985e-02
4.967629347433417024e+02 1.005240238007682613e-01
5.008347620773035374e+02 1.010648091454402903e-01
5.049065894112653154e+02 1.014677879653790582e-01
5.089784167452271504e+02 1.017824096578196225e-01
5.130502440791889285e+02 1.020524060133524841e-01
5.171220714131508203e+02 1.023113277258063114e-01
5.211938987471125984e+02 1.025823646412312995e-01
5.252657260810743765e+02 1.028828339337246184e-01
5.293375534150362682e+02 1.032313899294866333e-01
5.334093807489980463e+02 1.036543227125216460e-01
5.374812080829598244e+02 1.041872907895552147e-01
5.415530354169217162e+02 1.048707091307358452e-01
5.456248627508834943e+02 1.057400385840216173e-01
5.496966900848452724e+02 1.068149692892292890e-01
5.537685174188071642e+02 1.080925322905176011e-01
5.578403447527689423e+02 1.095478102700795375e-01
5.619121720867307204e+02 1.111425921845032860e-01
5.659839994206926121e+02 1.128384864009531058e-01
5.700558267546543902e+02 1.146085116228828527e-01
5.741276540886162820e+02 1.164413746911778375e-01
5.781994814225780601e+02 1.183356872483662114e-01
5.822713087565398382e+02 1.202860811331614571e-01
5.863431360905017300e+02 1.222674706737516132e-01
5.904149634244635081e+02 1.242255107850599727e-01
5.944867907584252862e+02 1.260795259056969597e-01
5.985586180923871780e+02 1.277393014993503384e-01
6.026304454263489561e+02 1.291310499700197012e-01
6.067022727603107342e+02 1.302231815963889316e-01
6.107741000942726259e+02 1.310413948596483580e-01
6.148459274282344040e+02 1.316658115769120951e-01
6.189177547621961821e+02 1.322093752551504464e-01
6.229895820961580739e+02 1.327840169268920678e-01
6.270614094301198520e+02 1.334662332962064935e-01
6.311332367640816301e+02 1.342745435783564700e-01
6.352050640980435219e+02 1.351673044844661220e-01
6.392768914320053000e+02 1.360619973697268503e-01
6.433487187659670781e+02 1.368691549796970663e-01
6.474205460999289699e+02 1.375286208894415663e-01
6.514923734338907479e+02 1.380349306767005291e-01
6.555642007678525260e+02 1.384425954473020026e-01
6.596360281018144178e+02 1.388494076274545408e-01
6.637078554357761959e+02 1.393637935081299406e-01
6.677796827697379740e+02 1.400677907451516602e-01
6.718515101036998658e+02 1.409884929913244045e-01
6.759233374376616439e+02 1.420875016653225242e-01
6.799951647716234220e+02 1.432714578469467814e-01
6.840669921055853138e+02 1.444195536457651419e-01
6.881388194395470919e+02 1.454185817272843906e-01
6.922106467735089836e+02 1.461942641313044855e-01
6.962824741074707617e+02 1.467296119510633490e-01
7.003543014414325398e+02 1.470658520211759190e-01
7.044261287753944316e+02 1.472871264316196194e-01
7.084979561093562097e+02 1.474947713300409080e-01
7.125697834433179878e+02 1.477791924629636711e-01
7.166416107772798796e+02 1.481968617952877376e-01
7.207134381112416577e+02 1.487574034407927459e-01
7.247852654452034358e+02 1.494223198709176137e-01
7.288570927791653276e+02 1.501138575746727710e-01
7.329289201131271057e+02 1.507306298491219165e-01
7.370007474470888837e+02 1.511660906697892270e-01
7.410725747810507755e+02 1.513264489472536667e-01
7.451444021150125536e+02 1.511455510920475531e-01
7.492162294489743317e+02 1.505951543520638314e-01
7.532880567829362235e+02 1.496896718644509794e-01
7.573598841168980016e+02 1.484850024438919003e-01
7.614317114508597797e+02 1.470717036277253698e-01
7.655035387848216715e+02 1.455636558027419980e-01
7.695753661187834496e+02 1.440843526065802571e-01
7.736471934527452277e+02 1.427536255424115552e-01
7.777190207867071194e+02 1.416774873378387478e-01
7.817908481206688975e+02 1.409426071306578154e-01
7.858626754546306756e+02 1.406149335128771549e-01
7.899345027885925674e+02 1.407398967980073579e-01
7.940063301225543455e+02 1.413404714663070716e-01
7.980781574565161236e+02 1.424100225748386461e-01
8.021499847904780154e+02 1.438995083500687611e-01
8.062218121244397935e+02 1.457025435450099715e-01
8.102936394584015716e+02 1.476454841545151164e-01
8.143654667923634634e+02 1.494911948670512858e-01
8.184372941263252415e+02 1.509631032597567035e-01
8.225091214602871332e+02 1.517903625662195277e-01
8.265809487942490250e+02 1.517668790146351476e-01
8.306527761282106894e+02 1.508093951386265397e-01
8.347246034621726949e+02 1.489959785198324005e-01
8.387964307961343593e+02 1.465685307628539769e-01
8.428682581300961374e+02 1.438916989417765302e-01
8.469400854640580292e+02 1.413737282135931195e-01
8.510119127980199210e+02 1.393681571672688579e-01
8.550837401319815854e+02 1.380839289955289872e-01
8.591555674659433635e+02 1.375316933830880439e-01
8.632273947999052552e+02 1.375247660857224496e-01
8.672992221338670333e+02 1.377368064650434931e-01
8.713710494678289251e+02 1.378000451367528689e-01
8.754428768017908169e+02 1.374142138634930066e-01
8.795147041357524813e+02 1.364323050864771625e-01
8.835865314697144868e+02 1.348967320520618463e-01
8.876583588036761512e+02 1.330160226393001521e-01
8.917301861376379293e+02 1.310920658793302551e-01
8.958020134715998211e+02 1.294240019527728991e-01
8.998738408055617128e+02 1.282213295205688885e-01
9.039456681395233772e+02 1.275535312588487180e-01
9.080174954734851553e+02 1.273487912816979040e-01
9.120893228074470471e+02 1.274360640156969871e-01
9.161611501414088252e+02 1.276099503340977215e-01
9.202329774753707170e+02 1.276920379614446266e-01
9.243048048093326088e+02 1.275672892138370318e-01
9.283766321432942732e+02 1.271870428349436699e-01
